cow_id,ground_truth_weight_kg,ground_truth_heart_girth_cm,upper_boundary_rule,lower_boundary_rule,upper_boundary_ratio_from_rear,lower_boundary_ratio_from_rear,boundary_mean_ratio_from_rear,boundary_side_ratio_difference,upper_boundary_x_m,upper_boundary_y_m,lower_boundary_x_m,lower_boundary_y_m,connector_length_m,rear_halfplane_sign,rear_side_core_point_count,projection_grid_cell_size_m,projection_grid_cell_count,valley_connected_rear_torso_projected_area_m2,existing_pca_45_48_core_area_m2,source_top_ply,area_definition,method_version,status
1,415.0,172.0,rule2_slow_to_fast_width_increase,rule1_first_u_shaped_valley,0.5803451721610638,0.5423786655710876,0.5613619188660757,0.037966506589976246,0.5740607963228394,-0.08801505503419008,0.5223594163756987,-0.4512224931691018,0.3668687446553118,-0.3739930015256109,19453,0.01,5223,0.5223,0.6242,point_clouds/cow_001_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
2,407.0,171.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.5035465156651197,0.5539011672316317,0.5287238414483757,-0.05035465156651209,0.30880608423892975,-0.03652583733027229,0.4562759931640335,-0.4331139879279159,0.4231188192846516,-0.38938344288763693,18106,0.01,4951,0.49510000000000004,0.6163,point_clouds/cow_002_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
4,443.0,176.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.6081097436338758,0.5386114872185757,0.5733606154262257,0.06949825641530016,0.8421960794411445,0.19226840579983598,0.7080570644281725,-0.20204662036587037,0.4165064407769849,-0.3973330515799164,18776,0.01,5307,0.5307000000000001,0.6863,point_clouds/cow_004_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
6,441.0,178.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.5811927504226382,0.5971888811682152,0.5891908157954266,-0.015996130745577042,0.6447912118144281,0.26020236417840575,0.731731262526668,-0.14061741478476164,0.4101403023672865,-0.4517583669017339,19711,0.01,5647,0.5647,0.6957,point_clouds/cow_006_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
13,410.0,179.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.5225323123652895,0.56796990474488,0.5452511085550847,-0.04543759237959044,0.5853867516147614,-0.21700182687312364,0.6515647752757076,-0.6134511570811381,0.4019348233707202,-0.3789260766246826,18015,0.01,4844,0.4844,0.6117,point_clouds/cow_013_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
16,312.0,153.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.6392506795705036,0.574141814058693,0.6066962468145983,0.06510886551181061,0.9322767295592624,0.26207903075931693,0.8221839303423157,-0.07726141707613061,0.35675252483561354,-0.3489134333244331,14853,0.01,4642,0.4642,0.5376,point_clouds/cow_016_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
20,441.0,181.0,rule1_first_u_shaped_valley,rule2_slow_to_fast_width_increase,0.5326749514826494,0.5601324232085592,0.5464036873456043,-0.027457471725909732,0.329878051557053,0.2368803687242797,0.32345242183907724,-0.17926176539032682,0.4161917400702851,-0.4120875061536744,18356,0.01,5347,0.5347000000000001,0.6784,point_clouds/cow_020_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
21,373.0,168.0,rule2_slow_to_fast_width_increase,rule1_first_u_shaped_valley,0.5839516800767554,0.5674247457349604,0.5756882129058578,0.016526934341794974,0.45762764439540315,0.06302010825493695,0.38447570001822984,-0.3268191123966864,0.396643195989073,-0.4131143945768891,17422,0.01,5136,0.5136000000000001,0.6052,point_clouds/cow_021_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
22,394.0,177.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.5110376502063166,0.5999137632856761,0.5554757067459963,-0.0888761130793595,0.15398167295529952,0.3192374598833323,0.3083249734304215,-0.08899649867042204,0.4364365009002137,-0.4071424497547664,17972,0.01,5078,0.5078,0.6668,point_clouds/cow_022_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
23,439.0,177.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.5570387470937634,0.5684068847895545,0.562722815941659,-0.011368137695791036,0.6197419414021412,0.4937548013915922,0.6441037787010344,0.0829494340873427,0.41152709378916613,-0.40739838663179373,18107,0.01,5180,0.518,0.662,point_clouds/cow_023_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
