cow_id,ground_truth_weight_kg,ground_truth_heart_girth_cm,upper_valley_ratio_from_rear,lower_valley_ratio_from_rear,virtual_chest_ratio_from_rear,topview_dorsal_arc_m,rightview_lower_side_arc_m,leftview_lower_side_arc_m,three_view_simulated_girth_m,rightview_full_visible_half_arc_m,leftview_full_visible_half_arc_m,right_plus_left_full_visible_arc_m,rightview_chest_station_u_m,leftview_chest_station_u_m,rightview_valid_profile_count,leftview_valid_profile_count,rightview_median_profile_coverage,leftview_median_profile_coverage,rightview_ground_fit_inlier_fraction,leftview_ground_fit_inlier_fraction,rightview_source_ply,leftview_source_ply,simulated_girth_formula,side_body_correction,method_version,status
25,434.0,174.0,0.5903850876081421,0.5625367344190788,0.5764609110136105,0.5588407803549764,0.30649791327177034,0.3318940410319901,1.1972327346587368,0.6288617342499525,0.6622593973990266,1.2911211316489792,-0.10729133103343524,0.37531448674590484,11,11,1.0,1.0,0.9716666666666667,0.9754666666666667,dataset/25/right-13.52.04.645.ply,dataset/25/left-13.52.04.637.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
26,414.0,174.0,0.5736631636390935,0.5295352279745478,0.5515991958068207,0.5554914664394444,0.2947047621708326,0.32974789100605734,1.1799441196163343,0.617719296354842,0.7032097308136495,1.3209290271684915,-0.25667567830823923,0.08107069330675865,11,11,1.0,0.9848484848484849,0.9859333333333333,0.927,dataset/26/right-13.56.26.505.ply,dataset/26/left-13.56.26.530.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
27,400.0,174.0,0.6005517024963413,0.5665582099022087,0.583554956199275,0.6284693614198816,0.325612541720788,0.30367532499016203,1.2577572281308318,0.6598451888367096,0.6331605552414966,1.2930057440782061,-0.11966137429960755,0.3295893469852871,11,11,1.0,1.0,0.9365333333333333,0.9697333333333333,dataset/27/right-15.30.41.954.ply,dataset/27/left-15.30.41.988.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
28,464.0,183.0,0.5481841629530718,0.5770359610032335,0.5626100619781527,0.6274684347062257,0.3011571650098633,0.29041729812277495,1.219042897838864,0.6541395209231781,0.6025537024521697,1.2566932233753478,-0.10385148400576272,0.2867621567725387,11,11,1.0,1.0,0.9943333333333333,0.9431333333333334,dataset/28/right-15.36.47.043.ply,dataset/28/left-15.36.47.065.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
39,437.0,179.0,0.5190246970282869,0.5971574471185667,0.5580910720734268,0.6468061739974733,0.6168990410199098,0.3075354093608587,1.5712406243782417,1.0556639988268475,0.6302679371900148,1.6859319360168623,-0.24215900002799773,0.26765710134090326,11,11,0.9629629629629629,1.0,0.966,0.976,dataset/39/right-16.21.22.394.ply,dataset/39/left-16.21.22.385.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
50,410.0,184.0,0.5446513470790088,0.5718839144329593,0.558267630755984,0.6107579400896911,0.3404600652580819,0.3081972879177708,1.2594152932655438,0.6991958884475513,0.6841514115005328,1.3833472999480843,-0.24234683928277267,0.22064677351544215,11,11,1.0,1.0,0.9661333333333333,0.9729333333333333,dataset/50/right-17.57.16.366.ply,dataset/50/left-17.57.16.380.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
51,431.0,176.0,0.588920327470987,0.5671084634905801,0.5780143954807835,0.6021785829649035,0.2919714349746228,0.3352495308734244,1.2293995488129508,0.6192379400490794,0.6756401104953589,1.2948780505444382,-0.2707739864452937,0.25878875686751945,11,11,1.0,1.0,0.9529333333333333,0.9808666666666667,dataset/51/right-18.00.21.476.ply,dataset/51/left-18.00.21.491.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
76,463.0,185.0,0.5359454158729889,0.6524552888888562,0.5942003523809225,0.6826979438493156,0.3998265578975158,0.31977884844607074,1.402303350192902,0.782169989149809,0.6793918805727388,1.4615618697225479,-0.26188893737410435,0.32195459920726455,11,11,0.9852941176470589,1.0,0.9741333333333333,0.9812666666666666,dataset/76/right-19.45.11.352.ply,dataset/76/left-19.45.11.313.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
82,445.0,189.0,0.520621685762102,0.5828699307988752,0.5517458082804886,0.6137951542714113,0.29877409183451625,0.3217125184517648,1.2342817645576925,0.635119048588108,0.6820368198017913,1.3171558683898992,-0.17714573709320158,0.15720029562972804,11,11,0.9833333333333333,1.0,0.9196,0.9952,dataset/82/right-20.14.10.418.ply,dataset/82/left-20.14.10.466.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
87,451.0,190.0,0.5199057889311325,0.6149423309938127,0.5674240599624726,0.6645049745568279,0.37529047721480896,0.3138453128168944,1.353640764588531,0.7891426875341301,0.6619764070073475,1.4511190945414776,-0.23002091599969232,0.19481363081182945,11,11,0.971830985915493,1.0,0.9790666666666666,0.9710666666666666,dataset/87/right-20.31.00.370.ply,dataset/87/left-20.31.00.406.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
