feature_field,feature_label_zh,univariate_pearson_r,standardized_ols_beta,standardized_ridge_beta,vif,method_version
topview_max_width_m,Topview最大体宽,0.42103924167258056,0.09319748628953134,0.10556095285203433,1.7715251316536824,five_visual_metrics_ols_nested_ridge_v1.0
virtual_chest_width_m,虚拟胸宽,0.5649192196907763,0.25413636272374035,0.17399046184630024,3.9749631507560372,five_visual_metrics_ols_nested_ridge_v1.0
torso_length_m,PCA躯干长度,0.5675275258677207,0.31139894318850786,0.2053100312549242,2.748907081065512,five_visual_metrics_ols_nested_ridge_v1.0
rightview_chest_depth_m,Rightview胸区体深,0.21722394861184335,0.1091519290268499,0.06874492318633114,1.3295301550995806,five_visual_metrics_ols_nested_ridge_v1.0
topview_torso_height_m,Topview躯干最大离地高度,0.5505919484732138,0.02533211026503429,0.12713920570250561,4.459527807143327,five_visual_metrics_ols_nested_ridge_v1.0
