variable,Topview最大体宽,虚拟胸宽,PCA躯干长度,Rightview胸区体深,Topview躯干最大离地高度,体重
Topview最大体宽,1.0,0.6407201954464472,0.4249857752189167,0.18931634647243648,0.4739869507878023,0.4210392416725806
虚拟胸宽,0.6407201954464472,0.9999999999999998,0.7023653990222035,0.11466707721160899,0.7830918730313762,0.5649192196907763
PCA躯干长度,0.4249857752189167,0.7023653990222035,1.0,0.16747454879974796,0.7794146890458309,0.5675275258677207
Rightview胸区体深,0.18931634647243645,0.114667077211609,0.16747454879974796,0.9999999999999998,0.3606387486367463,0.21722394861184333
Topview躯干最大离地高度,0.47398695078780223,0.7830918730313763,0.7794146890458309,0.3606387486367463,1.0,0.5505919484732138
体重,0.4210392416725806,0.5649192196907763,0.5675275258677207,0.2172239486118433,0.5505919484732138,0.9999999999999998
