model,predictor_count,in_sample_r,in_sample_r_squared,in_sample_rmse_kg,validation_method,validation_r,validation_r_squared,validation_rmse_kg,validation_mae_kg,ridge_alpha,method_version
Topview最大体宽,1,0.42103924167258056,0.1772740430282217,62.31871349171796,LOOCV OLS,0.3662006731324092,0.1311524031385103,64.0416748893659,49.87544046438572,,five_visual_metrics_ols_nested_ridge_v1.0
虚拟胸宽,1,0.5649192196907763,0.3191337247760356,56.692001639571004,LOOCV OLS,0.5228370210534936,0.2702901666818972,58.69025261023607,44.568502464905414,,five_visual_metrics_ols_nested_ridge_v1.0
PCA躯干长度,1,0.5675275258677207,0.3220874926175364,56.56889595212548,LOOCV OLS,0.5257169516695525,0.27398063050636745,58.54165326840184,44.13548676003109,,five_visual_metrics_ols_nested_ridge_v1.0
Rightview胸区体深,1,0.21722394861184335,0.04718624385052076,67.06483937034321,LOOCV OLS,0.0785114662528708,-0.01672614907234471,69.2776067253236,55.556181589314576,,five_visual_metrics_ols_nested_ridge_v1.0
Topview躯干最大离地高度,1,0.5505919484732138,0.3031514937235301,57.353518523806336,LOOCV OLS,0.5080874629003738,0.25558496671733644,59.27866943529572,47.598748746278424,,five_visual_metrics_ols_nested_ridge_v1.0
五指标OLS,5,0.630231588731678,0.3971918554352549,53.343368294483625,LOOCV OLS,0.5210667387324052,0.25426139321836483,59.33134491064375,45.1649836012356,,five_visual_metrics_ols_nested_ridge_v1.0
五指标岭回归,5,0.6271742072047112,0.38720412386624237,53.78346725643421,Nested LOOCV Ridge,0.5432338437031325,0.29503145406528664,57.6867071625418,44.367797230366754,25.11886431509582,five_visual_metrics_ols_nested_ridge_v1.0
