cow_id,ground_truth_weight_kg,ground_truth_heart_girth_cm,upper_valley_ratio_from_rear,lower_valley_ratio_from_rear,valley_longitudinal_offset_m,virtual_chest_ratio_from_rear,upper_valley_halfwidth_m,lower_valley_halfwidth_m,virtual_chest_width_m,rightview_chest_depth_m,ellipse_chest_area_m2,pca_torso_length_m,ellipse_area_times_torso_length_m3,rightview_depth_valid_profile_count,rightview_depth_profile_coverage_median,rightview_ground_fit_inlier_fraction,rightview_source_ply,virtual_width_formula,ellipse_area_formula,depth_window_definition,method_version,status
1,415.0,172.0,0.5803451721610638,0.5423786655710876,0.07000000000000006,0.5613619188660757,0.16206714864173397,0.1980615447512867,0.36012869339302067,0.7200000000000006,0.20364797835187307,1.3,0.264742371857435,11,0.9861111111111112,0.9938,dataset/1/right-12.09.07.778.ply,upper valley halfwidth + lower valley halfwidth,pi * virtual chest width * rightview chest depth / 4,median of 1cm-spaced profiles within +/-5cm of mean dual-valley station,dual_valley_virtual_width_rightview_chest_depth_v1.0,ok_experimental_virtual_chest_proxy
2,407.0,171.0,0.5035465156651197,0.5539011672316317,0.09000000000000008,0.5287238414483757,0.19212016949942748,0.2213160834257818,0.41343625292520925,0.6300000000000003,0.20456860644951094,1.22,0.24957369986840333,11,0.984375,0.9920666666666667,dataset/2/right-12.15.22.188.ply,upper valley halfwidth + lower valley halfwidth,pi * virtual chest width * rightview chest depth / 4,median of 1cm-spaced profiles within +/-5cm of mean dual-valley station,dual_valley_virtual_width_rightview_chest_depth_v1.0,ok_experimental_virtual_chest_proxy
4,443.0,176.0,0.6081097436338758,0.5386114872185757,0.1200000000000001,0.5733606154262257,0.17878807118558684,0.22005728131173383,0.39884535249732067,0.6700000000000004,0.20987911291177247,1.38,0.289633175818246,11,1.0,0.9662,dataset/4/right-12.24.08.096.ply,upper valley halfwidth + lower valley halfwidth,pi * virtual chest width * rightview chest depth / 4,median of 1cm-spaced profiles within +/-5cm of mean dual-valley station,dual_valley_virtual_width_rightview_chest_depth_v1.0,ok_experimental_virtual_chest_proxy
6,441.0,178.0,0.5811927504226382,0.5971888811682152,0.029999999999999805,0.5891908157954266,0.19676578255013338,0.2122758627941142,0.4090416453442476,0.6500000000000006,0.20881936205418777,1.45,0.30278807497857224,11,0.9848484848484849,0.9631333333333333,dataset/6/right-12.31.11.492.ply,upper valley halfwidth + lower valley halfwidth,pi * virtual chest width * rightview chest depth / 4,median of 1cm-spaced profiles within +/-5cm of mean dual-valley station,dual_valley_virtual_width_rightview_chest_depth_v1.0,ok_experimental_virtual_chest_proxy
13,410.0,179.0,0.5225323123652895,0.56796990474488,0.08000000000000007,0.5452511085550847,0.20680781849031932,0.18708506318952528,0.3938928816798446,0.5600000000000004,0.17324313767413999,1.27,0.22001878484615778,11,1.0,0.9962,dataset/13/right-12.59.51.501.ply,upper valley halfwidth + lower valley halfwidth,pi * virtual chest width * rightview chest depth / 4,median of 1cm-spaced profiles within +/-5cm of mean dual-valley station,dual_valley_virtual_width_rightview_chest_depth_v1.0,ok_experimental_virtual_chest_proxy
16,312.0,153.0,0.6392506795705036,0.574141814058693,0.1100000000000001,0.6066962468145983,0.160061370557882,0.17930917026230325,0.33937054082018525,0.6000000000000003,0.1599245996828234,1.21,0.19350876561621633,11,0.9836065573770492,0.9553333333333334,dataset/16/right-13.12.28.352.ply,upper valley halfwidth + lower valley halfwidth,pi * virtual chest width * rightview chest depth / 4,median of 1cm-spaced profiles within +/-5cm of mean dual-valley station,dual_valley_virtual_width_rightview_chest_depth_v1.0,ok_experimental_virtual_chest_proxy
20,441.0,181.0,0.5326749514826494,0.5601324232085592,0.050000000000000044,0.5464036873456043,0.2261085482369395,0.1870688525278309,0.4131774007647704,0.5500000000000005,0.1784798244448903,1.36,0.24273256124505083,11,1.0,0.9442,dataset/20/right-13.27.56.550.ply,upper valley halfwidth + lower valley halfwidth,pi * virtual chest width * rightview chest depth / 4,median of 1cm-spaced profiles within +/-5cm of mean dual-valley station,dual_valley_virtual_width_rightview_chest_depth_v1.0,ok_experimental_virtual_chest_proxy
21,373.0,168.0,0.5839516800767554,0.5674247457349604,0.030000000000000027,0.5756882129058578,0.20410253927178776,0.19140450861032796,0.3955070478821157,0.5500000000000004,0.1708467799595483,1.24,0.2118500071498399,11,1.0,0.9851333333333333,dataset/21/right-13.31.25.534.ply,upper valley halfwidth + lower valley halfwidth,pi * virtual chest width * rightview chest depth / 4,median of 1cm-spaced profiles within +/-5cm of mean dual-valley station,dual_valley_virtual_width_rightview_chest_depth_v1.0,ok_experimental_virtual_chest_proxy
22,394.0,177.0,0.5110376502063166,0.5999137632856761,0.16000000000000014,0.5554757067459963,0.20985127580755844,0.19619899117674258,0.406050266984301,0.6800000000000004,0.21685957107682932,1.42,0.30794059092909765,11,0.9855072463768116,0.9243333333333333,dataset/22/right-13.41.45.457.ply,upper valley halfwidth + lower valley halfwidth,pi * virtual chest width * rightview chest depth / 4,median of 1cm-spaced profiles within +/-5cm of mean dual-valley station,dual_valley_virtual_width_rightview_chest_depth_v1.0,ok_experimental_virtual_chest_proxy
23,439.0,177.0,0.5570387470937634,0.5684068847895545,0.020000000000000018,0.562722815941659,0.2289195559315798,0.18212125581654465,0.41104081174812446,0.5800000000000006,0.18724180520445666,1.33,0.24903160092192736,11,1.0,0.8997333333333334,dataset/23/right-13.45.59.323.ply,upper valley halfwidth + lower valley halfwidth,pi * virtual chest width * rightview chest depth / 4,median of 1cm-spaced profiles within +/-5cm of mean dual-valley station,dual_valley_virtual_width_rightview_chest_depth_v1.0,ok_experimental_virtual_chest_proxy
