candidate_group,added_position_count,model,position,outer_fold_selection_count,outer_fold_selection_rate,method_version
width,3,ridge,W3,20,0.32786885245901637,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,3,ridge,W4,59,0.9672131147540983,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,3,ridge,W5,59,0.9672131147540983,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,3,ridge,W6,1,0.01639344262295082,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,3,ridge,W7,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,3,ridge,W8,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,3,ridge,W9,1,0.01639344262295082,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,3,ridge,W10,7,0.11475409836065574,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,3,ridge,W11,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,1,ols,H1,34,0.5573770491803278,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,1,ols,H2,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,1,ols,H3,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,1,ols,H4,15,0.2459016393442623,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,1,ols,H5,1,0.01639344262295082,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,1,ols,H6,2,0.03278688524590164,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,1,ols,H7,7,0.11475409836065574,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,1,ols,H8,1,0.01639344262295082,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,1,ols,H9,1,0.01639344262295082,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,1,ols,H10,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,1,ols,H11,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,1,ridge,H1,34,0.5573770491803278,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,1,ridge,H2,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,1,ridge,H3,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,1,ridge,H4,15,0.2459016393442623,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,1,ridge,H5,1,0.01639344262295082,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,1,ridge,H6,2,0.03278688524590164,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,1,ridge,H7,7,0.11475409836065574,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
