cow_id,ground_truth_weight_kg,skeleton_max_width_m,skeleton_max_width_station_from_rear_m,skeleton_max_width_center_x_m,skeleton_max_width_center_y_m,skeleton_local_tangent_x,skeleton_local_tangent_y,skeleton_left_boundary_x_m,skeleton_left_boundary_y_m,skeleton_right_boundary_x_m,skeleton_right_boundary_y_m,raw_width_at_selected_station_m,cross_section_point_count,pca_45_48_max_width_m,skeleton_minus_pca_m,absolute_difference_m,difference_vs_pca_percent,valid_profile_fraction,status,method_version,centerline_source
126,512.0,0.625106,0.73,-0.214408,0.30638,0.90808094,-0.4187947,-0.337349,0.039804,-0.075558,0.607451,0.625106,249,0.605144,0.019962,0.019962,3.2987,0.995074,ok,extended_geometric_local_cross_section_width_v1.0,extended_geometric_centerline_records.json
127,551.0,0.5804,0.74,-0.072681,0.050362,0.96105107,-0.27637086,-0.150407,-0.219921,0.009998,0.337872,0.5804,221,0.561619,0.018781,0.018781,3.344,1.0,ok,extended_geometric_local_cross_section_width_v1.0,extended_geometric_centerline_records.json
128,479.0,0.573713,0.74,-0.093495,0.119582,0.92004009,-0.39182423,-0.204403,-0.140839,0.021414,0.389399,0.576321,242,0.557056,0.016657,0.016657,2.9902,1.0,ok,extended_geometric_local_cross_section_width_v1.0,extended_geometric_centerline_records.json
129,514.0,0.650674,0.71,0.050098,-0.016144,0.97591455,-0.21815314,-0.018216,-0.321749,0.12186,0.304885,0.642099,245,0.631709,0.018965,0.018965,3.0022,1.0,ok,extended_geometric_local_cross_section_width_v1.0,extended_geometric_centerline_records.json
130,548.0,0.603005,0.68,-0.097353,0.017156,0.98609413,0.16618775,-0.049505,-0.266757,-0.149531,0.32676,0.601887,236,0.584546,0.018459,0.018459,3.1579,0.990338,ok,extended_geometric_local_cross_section_width_v1.0,extended_geometric_centerline_records.json
132,418.0,0.592912,0.8,0.19171,0.142793,0.99852273,-0.05433558,0.176592,-0.135027,0.208808,0.457009,0.592912,240,0.571458,0.021454,0.021454,3.7543,0.984772,ok,extended_geometric_local_cross_section_width_v1.0,extended_geometric_centerline_records.json
133,531.0,0.623365,0.78,0.145506,-0.002689,1.0,-1.668e-05,0.145501,-0.312755,0.145512,0.31061,0.623365,221,0.606716,0.016649,0.016649,2.7441,1.0,ok,extended_geometric_local_cross_section_width_v1.0,extended_geometric_centerline_records.json
134,512.0,0.562783,0.68,0.277318,-0.134585,0.99679574,-0.07998913,0.252189,-0.447733,0.297566,0.117734,0.567285,229,0.552455,0.010328,0.010328,1.8695,1.0,ok,extended_geometric_local_cross_section_width_v1.0,extended_geometric_centerline_records.json
135,413.0,0.645346,0.71,0.046738,-0.041224,0.97118476,-0.23832785,-0.030136,-0.354484,0.123668,0.272267,0.645346,237,0.622038,0.023308,0.023308,3.7471,1.0,ok,extended_geometric_local_cross_section_width_v1.0,extended_geometric_centerline_records.json
136,563.0,0.628206,0.72,0.155575,0.220699,0.99043428,-0.1379853,0.115946,-0.06375,0.202541,0.557816,0.627569,242,0.606731,0.021475,0.021475,3.5394,1.0,ok,extended_geometric_local_cross_section_width_v1.0,extended_geometric_centerline_records.json
137,511.0,0.62176,0.69,0.211052,0.040759,0.96742235,-0.25316794,0.13477,-0.250732,0.293045,0.354078,0.625177,236,0.594052,0.027708,0.027708,4.6642,1.0,ok,extended_geometric_local_cross_section_width_v1.0,extended_geometric_centerline_records.json
138,495.0,0.669388,0.75,-0.094816,0.030915,0.96581918,-0.25921675,-0.181854,-0.29338,-0.007631,0.355758,0.672111,270,0.642582,0.026806,0.026806,4.1716,1.0,ok,extended_geometric_local_cross_section_width_v1.0,extended_geometric_centerline_records.json
139,519.0,0.630919,0.75,0.24779,-0.03776,0.95843894,-0.28529772,0.157511,-0.341043,0.336569,0.260487,0.627615,226,0.601132,0.029787,0.029787,4.9551,1.0,ok,extended_geometric_local_cross_section_width_v1.0,extended_geometric_centerline_records.json
140,549.0,0.636875,0.67,-0.268923,0.230961,0.98219669,-0.18785544,-0.321933,-0.046202,-0.202833,0.576509,0.633999,242,0.616085,0.02079,0.02079,3.3746,1.0,ok,extended_geometric_local_cross_section_width_v1.0,extended_geometric_centerline_records.json
141,488.0,0.640584,0.73,0.172245,-0.189053,0.99997127,0.00758079,0.174717,-0.515097,0.169897,0.120679,0.635795,260,0.621017,0.019567,0.019567,3.1508,1.0,ok,extended_geometric_local_cross_section_width_v1.0,extended_geometric_centerline_records.json
142,526.0,0.64078,0.74,0.308942,0.06074,0.999545,-0.0301627,0.299792,-0.24246,0.319043,0.395488,0.638239,239,0.623886,0.016894,0.016894,2.7079,1.0,ok,extended_geometric_local_cross_section_width_v1.0,extended_geometric_centerline_records.json
144,543.0,0.598636,0.68,-0.176604,-0.050712,0.99692616,-0.07834686,-0.202069,-0.374744,-0.154943,0.224922,0.601515,242,0.585546,0.01309,0.01309,2.2356,1.0,ok,extended_geometric_local_cross_section_width_v1.0,extended_geometric_centerline_records.json
149,520.0,0.628655,0.66,0.223465,0.08562,0.99736105,0.07260128,0.245911,-0.222728,0.200269,0.404269,0.628655,247,0.607512,0.021143,0.021143,3.4803,1.0,ok,extended_geometric_local_cross_section_width_v1.0,extended_geometric_centerline_records.json
151,532.0,0.585352,0.73,0.178794,-0.035738,0.9999997,-0.00077924,0.178561,-0.334341,0.179016,0.248859,0.5832,229,0.570491,0.014861,0.014861,2.6049,1.0,ok,extended_geometric_local_cross_section_width_v1.0,extended_geometric_centerline_records.json
154,535.0,0.618808,0.7,0.020144,0.027701,0.97834907,-0.20696157,-0.043825,-0.274692,0.08432,0.331071,0.619169,242,0.593855,0.024953,0.024953,4.2019,1.0,ok,extended_geometric_local_cross_section_width_v1.0,extended_geometric_centerline_records.json
