cow_id,ground_truth_weight_kg,pca_max_width_m,pca_max_width_axis_m,method_version,dorsal_arc_1cm_m,dorsal_chord_1cm_m,dorsal_arc_to_max_width_ratio_1cm,valid_profile_count_1cm,dorsal_arc_2cm_m,dorsal_chord_2cm_m,dorsal_arc_to_max_width_ratio_2cm,valid_profile_count_2cm,dorsal_arc_5cm_m,dorsal_chord_5cm_m,dorsal_arc_to_max_width_ratio_5cm,valid_profile_count_5cm,dorsal_arc_10cm_m,dorsal_chord_10cm_m,dorsal_arc_to_max_width_ratio_10cm,valid_profile_count_10cm,dorsal_arc_15cm_m,dorsal_chord_15cm_m,dorsal_arc_to_max_width_ratio_15cm,valid_profile_count_15cm
1,415.0,0.570137,-0.2,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.7094731060069716,0.5700000000000005,1.2443905692964525,1,0.7098238329324693,0.5650000000000005,1.2450057318372063,2,0.7094731060069716,0.5700000000000005,1.2443905692964525,5,0.7055769389051857,0.5600000000000005,1.2375568309111418,10,0.7094731060069716,0.5700000000000005,1.2443905692964525,15
2,407.0,0.591295,-0.22,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.7267588538369127,0.5900000000000005,1.2290969039767168,1,0.7264014271964973,0.5900000000000005,1.2284924228963499,2,0.7270046219479971,0.5900000000000005,1.2295125477942432,5,0.7260199442405433,0.5900000000000005,1.2278472576980073,10,0.7225180745007062,0.5800000000000005,1.2219248843651749,15
4,443.0,0.608925,-0.1,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.7537552013927451,0.5900000000000005,1.2378457139922734,1,0.778241773145484,0.6050000000000005,1.278058501696406,2,0.7537552013927451,0.5900000000000005,1.2378457139922734,5,0.7755830895670368,0.6000000000000005,1.2736923095077994,10,0.7602280525060926,0.5900000000000005,1.2484756784597324,15
6,441.0,0.579165,-0.13,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.7281337030022665,0.5800000000000005,1.257212889249638,1,0.7169427261745976,0.5750000000000005,1.2378902837267405,2,0.7249501228911357,0.5800000000000005,1.2517160444625204,5,0.7212782035138734,0.5800000000000005,1.245376021537685,10,0.722472926595687,0.5800000000000005,1.2474388586943046,15
13,410.0,0.56025,-0.15,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.7153719585104751,0.5600000000000005,1.2768798902462741,1,0.7178608223504319,0.5600000000000005,1.2813223067388342,2,0.6965904029809997,0.5500000000000005,1.2433563640892453,5,0.7034170683398605,0.5500000000000005,1.2555413981969843,10,0.6965904029809997,0.5500000000000005,1.2433563640892453,15
16,312.0,0.528906,-0.06,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.6386914348597856,0.5100000000000005,1.2075707873606758,1,0.6492815723171681,0.5150000000000005,1.2275935087088596,2,0.6482463833285598,0.5200000000000005,1.225636281926391,5,0.6438634852328546,0.5150000000000005,1.2173495578285265,10,0.6518018994420094,0.5200000000000005,1.2323586789372958,15
20,441.0,0.578143,-0.17,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.7462871924006611,0.5800000000000005,1.2908349532912466,1,0.7344717732931405,0.5750000000000005,1.2703981078956945,2,0.7462871924006611,0.5800000000000005,1.2908349532912466,5,0.7269899177393147,0.5700000000000005,1.2574569228362442,10,0.7276990599281973,0.5700000000000005,1.2586835089730348,15
21,373.0,0.589629,-0.14,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.7199951563431265,0.5800000000000005,1.2210986168304587,1,0.7344717798016438,0.5850000000000005,1.2456507054463803,2,0.7444918155836543,0.5900000000000005,1.2626445028715587,5,0.7239119061593295,0.5800000000000005,1.2277413528834735,10,0.7199951563431265,0.5800000000000005,1.2210986168304587,15
22,394.0,0.540493,-0.18,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.6981542717649045,0.5400000000000005,1.2916990076927999,1,0.7034093147852067,0.5400000000000005,1.3014216923904782,2,0.6981542717649045,0.5400000000000005,1.2916990076927999,5,0.6825126144702409,0.5300000000000005,1.2627593964588641,10,0.6753463139192272,0.5300000000000005,1.2495005743260823,15
23,439.0,0.575478,-0.13,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.6907426232305824,0.5500000000000005,1.2002937092826873,1,0.7219840677312213,0.5600000000000005,1.2545815265417986,2,0.7147345071812476,0.5700000000000005,1.2419840674730356,5,0.7207605158233414,0.5650000000000005,1.2524553776570806,10,0.7093494577822786,0.5700000000000005,1.2326265431211594,15
24,441.0,0.557499,-0.23,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.6828795331622253,0.5500000000000005,1.224898220736226,1,0.690516421295875,0.5500000000000005,1.2385966993588777,2,0.6954382900082319,0.5500000000000005,1.2474251792527555,5,0.6859704289833832,0.5500000000000005,1.2304424384319672,10,0.6828795331622253,0.5500000000000005,1.224898220736226,15
25,434.0,0.530462,-0.1,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.661065430602362,0.5200000000000005,1.2462069490413301,1,0.6715332310450146,0.5200000000000005,1.2659403143769292,2,0.6616545361040496,0.5200000000000005,1.247317500789971,5,0.6597805003719325,0.5200000000000005,1.2437846638815457,10,0.6616545361040496,0.5200000000000005,1.247317500789971,15
26,414.0,0.522857,-0.23,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.6427337760488362,0.5100000000000005,1.2292725851405568,1,0.6675521959550261,0.5250000000000005,1.2767395214275148,2,0.6766475606433804,0.5300000000000005,1.2941350324149439,5,0.6772375413037504,0.5250000000000005,1.295263411035427,10,0.6787263417264006,0.5200000000000005,1.2981108443157507,15
27,400.0,0.553485,-0.08,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.7078854970505584,0.5500000000000005,1.2789605807755555,1,0.7121540752220393,0.5550000000000005,1.2866727647940583,2,0.7057940923019935,0.5500000000000005,1.2751819693433308,5,0.698061271307247,0.5500000000000005,1.2612108210832218,10,0.7057940923019935,0.5500000000000005,1.2751819693433308,15
28,464.0,0.567858,-0.16,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.7623012716693692,0.5700000000000005,1.3424153074701233,1,0.7630659098134971,0.5650000000000005,1.3437618380184784,2,0.7659111163063392,0.5600000000000005,1.3487722569838574,5,0.7629068890193248,0.5600000000000005,1.3434818018225063,10,0.7504689156058973,0.5600000000000005,1.3215784854768224,15
39,437.0,0.58566,-0.11,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.795953092984907,0.5900000000000005,1.3590702677063604,1,0.76801293303227,0.5800000000000005,1.3113631339553156,2,0.7593553843309159,0.5800000000000005,1.2965805831556123,5,0.752994047283676,0.5800000000000005,1.2857187571008368,10,0.7513176362345771,0.5800000000000005,1.2828563265966213,15
50,410.0,0.594746,-0.22,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.8352935910372651,0.6100000000000005,1.4044543234208637,1,0.8426919695048074,0.6050000000000005,1.416893883279261,2,0.8018266486098835,0.5800000000000005,1.3481833397952798,5,0.794988514353755,0.5800000000000005,1.3366857689732339,10,0.79351908218801,0.5800000000000005,1.334215080367098,15
51,431.0,0.576654,-0.05,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.733125889261852,0.5600000000000005,1.271344496460359,1,0.7536439798130768,0.5750000000000005,1.3069257818606597,2,0.733125889261852,0.5600000000000005,1.271344496460359,5,0.7397824928783103,0.5700000000000005,1.2828879932824715,10,0.733125889261852,0.5600000000000005,1.271344496460359,15
76,463.0,0.659812,-0.08,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.8228805534707078,0.6500000000000006,1.2471439644485214,1,0.8293899962328409,0.6550000000000006,1.2570095667142172,2,0.8334286599368272,0.6600000000000006,1.2631304976824116,5,0.8153909403399068,0.6500000000000006,1.2357928324127279,10,0.8163769543599486,0.6500000000000006,1.2372872187228312,15
82,445.0,0.586443,-0.14,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.7144973831282425,0.5900000000000005,1.2183577655940006,1,0.7058209487972591,0.5850000000000005,1.2035627482931146,2,0.705482512852258,0.5800000000000005,1.202985648822235,5,0.7070359656332905,0.5800000000000005,1.2056345896076694,10,0.705482512852258,0.5800000000000005,1.202985648822235,15
87,451.0,0.575528,-0.2,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.7322478704162645,0.5700000000000005,1.2723062482038483,1,0.7355537667503327,0.5700000000000005,1.2780503585409095,2,0.7359302613955954,0.5700000000000005,1.2787045311359226,5,0.7303180294115432,0.5650000000000005,1.2689530820595056,10,0.7217220642660496,0.5600000000000005,1.2540172924098385,15
97,462.0,0.585151,-0.22,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.7118048072914015,0.5800000000000005,1.2164463656242603,1,0.7118157289782617,0.5800000000000005,1.2164650303567144,2,0.7169734893316054,0.5800000000000005,1.225279439549117,5,0.7110706963714533,0.5800000000000005,1.2151917989911207,10,0.7072625831330951,0.5800000000000005,1.208683883532789,15
98,346.0,0.586007,-0.23,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.7124389274699132,0.5700000000000005,1.215751565202998,1,0.7260849488504777,0.5750000000000005,1.2390380129426402,2,0.7321382704738653,0.5800000000000005,1.2493677899306073,5,0.7293406809212228,0.5750000000000005,1.2445938033525588,10,0.7321382704738653,0.5800000000000005,1.2493677899306073,15
99,407.0,0.551646,-0.21,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.7410804379198361,0.5500000000000005,1.3433985525497079,1,0.7230862326580417,0.5400000000000005,1.3107794358303002,2,0.7365190579085827,0.5500000000000005,1.3351298802285936,5,0.7361262084194322,0.5450000000000005,1.334417739672602,10,0.7357652468303891,0.5400000000000005,1.333763404122189,15
100,366.0,0.552033,-0.19,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.7130559461129917,0.5500000000000005,1.291690797675124,1,0.7118047725748788,0.5500000000000005,1.289424314442939,2,0.7043099831473313,0.5500000000000005,1.2758476090149162,5,0.6973318259647621,0.5400000000000005,1.2632067756180556,10,0.6893869270269767,0.5400000000000005,1.2488147031553851,15
102,378.0,0.589834,-0.21,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.7875352870660662,0.5900000000000005,1.3351812324587362,1,0.7628079734101072,0.5800000000000005,1.2932587362039272,2,0.7442113284400842,0.5700000000000005,1.2617301282057056,5,0.7371160124771609,0.5700000000000005,1.249700784419279,10,0.7344528555632375,0.5700000000000005,1.2451856887925035,15
103,382.0,0.566824,-0.18,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.747096930562064,0.5600000000000005,1.318040398010783,1,0.7378189884380015,0.5550000000000005,1.3016721035771273,2,0.747096930562064,0.5600000000000005,1.318040398010783,5,0.7469965473152117,0.5600000000000005,1.3178633002752385,10,0.742679717661552,0.5500000000000005,1.3102474801023811,15
104,408.0,0.586404,-0.08,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.7775876760680052,0.5900000000000005,1.3260272373108046,1,0.7439551684649179,0.5750000000000005,1.2686734204830081,2,0.7524202118216041,0.5800000000000005,1.2831089348326479,5,0.7404414295974872,0.5700000000000005,1.2626814100815942,10,0.7331658921442832,0.5700000000000005,1.2502743708165074,15
105,323.0,0.489179,-0.3,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.598713687057135,0.4700000000000004,1.2239153501216018,1,0.6120291858193989,0.4800000000000004,1.2511354449381493,2,0.630817334626145,0.49000000000000044,1.2895429579482052,5,0.6320466030523708,0.48500000000000043,1.29205587944775,10,0.6216669164197227,0.4800000000000004,1.270837293546376,15
107,409.0,0.574904,-0.19,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.7156532943555158,0.5700000000000005,1.2448222561601865,1,0.7106111586550213,0.5700000000000005,1.2360518602323542,2,0.7128583384066041,0.5700000000000005,1.239960651528958,5,0.7119127165882448,0.5700000000000005,1.2383158172290416,10,0.7115684991507294,0.5700000000000005,1.237717078243897,15
110,417.0,0.521799,-0.18,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.6889764469986124,0.5200000000000005,1.320386675709636,1,0.6635692657628756,0.5100000000000005,1.2716951656919149,2,0.6819125360928816,0.5200000000000005,1.3068490665809662,5,0.682305277170911,0.5100000000000005,1.307601733945276,10,0.6696824026722885,0.5000000000000004,1.283410667081172,15
111,243.0,0.59505,-0.17,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.7912534115585714,0.5800000000000005,1.3297259248106403,1,0.8019365201006285,0.5850000000000005,1.3476792204027033,2,0.7912534115585714,0.5900000000000005,1.3297259248106403,5,0.7749086140087866,0.5800000000000005,1.30225798505804,10,0.7582201239063348,0.5800000000000005,1.2742124592997812,15
112,399.0,0.602323,-0.17,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.7843169198712904,0.6000000000000005,1.302153362682963,1,0.7802206048997368,0.6000000000000005,1.2953525017303618,2,0.7843169198712904,0.6000000000000005,1.302153362682963,5,0.7805342133001348,0.6000000000000005,1.295873166557038,10,0.7749113885883732,0.6000000000000005,1.2865379349425028,15
114,605.0,0.585381,-0.15,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.7621660875912422,0.5800000000000005,1.3020000437172408,1,0.7674405914683149,0.5800000000000005,1.3110104213637184,2,0.7750592471730312,0.5800000000000005,1.3240252880995986,5,0.7674405914683149,0.5800000000000005,1.3110104213637184,10,0.7621660875912422,0.5800000000000005,1.3020000437172408,15
117,399.0,0.590675,-0.18,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.7609797743466901,0.5800000000000005,1.2883222996515684,1,0.7680102355311572,0.5850000000000005,1.3002247183834719,2,0.7637908769305278,0.5800000000000005,1.2930814355280449,5,0.7582667961370555,0.5750000000000005,1.2837292862184035,10,0.7637908769305278,0.5800000000000005,1.2930814355280449,15
119,495.0,0.587958,-0.19,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.745916260462917,0.5900000000000005,1.2686556870778476,1,0.7470847586664315,0.5900000000000005,1.2706430708765448,2,0.7329645763935445,0.5900000000000005,1.2466274400442625,5,0.7338771684075476,0.5850000000000005,1.248179578145969,10,0.7329645763935445,0.5800000000000005,1.2466274400442625,15
120,493.0,0.624679,-0.15,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.7603799354037631,0.6100000000000005,1.2172330675495144,1,0.7781414818877472,0.6200000000000006,1.245666145152546,2,0.7819258815725193,0.6200000000000006,1.2517242961145154,5,0.7803713716209388,0.6200000000000006,1.2492358021014616,10,0.7773709178577458,0.6200000000000006,1.244432609160458,15
122,486.0,0.599668,-0.19,topview_visible_dorsal_arc_maxwidth_1cm_bins_v1.0,0.7707492044687528,0.6000000000000005,1.2852932030202593,1,0.7597228848605349,0.5950000000000005,1.2669058293264521,2,0.7707492044687528,0.6000000000000005,1.2852932030202593,5,0.7754504778646909,0.5950000000000005,1.2931329966993252,10,0.7723783472103734,0.5900000000000005,1.2880099441864055,15
