metric,field,window_cm,n,pearson_r,r_squared,fisher_95_ci_lower,fisher_95_ci_upper,in_sample_rmse_kg,loocv_r,loocv_rmse_kg,loocv_mae_kg
1cm窗口可见背部横向弧长,dorsal_arc_1cm_m,1,61,0.43499531160062327,0.18922092111452332,0.20570799792961772,0.6190092574470102,61.8645910351707,0.3755372040146328,63.79783188122576,50.16863040153407
1cm窗口背部弧长/最大体宽,dorsal_arc_to_max_width_ratio_1cm,1,61,0.18171212913713877,0.033019297875552196,-0.07347054168227864,0.4145629332806609,67.56157774136643,-0.004289636331755664,69.92202156522806,57.1788421022976
2cm窗口可见背部横向弧长,dorsal_arc_2cm_m,2,61,0.41293849123985804,0.17051819754745032,0.17981620385241387,0.6021443614600678,62.57405661626834,0.34232765831015666,64.73136994409661,50.03759063635314
2cm窗口背部弧长/最大体宽,dorsal_arc_to_max_width_ratio_2cm,2,61,0.12651236584212444,0.016005378710971536,-0.12943187229714434,0.3666521423084628,68.15335529368184,-0.1549464225223172,70.97552946541883,57.44667205699327
5cm窗口可见背部横向弧长,dorsal_arc_5cm_m,5,61,0.44069688278867664,0.1942137424996566,0.21245351381071106,0.623341314303018,61.67381413050264,0.3814304679972467,63.63293415754095,48.73884502149918
5cm窗口背部弧长/最大体宽,dorsal_arc_to_max_width_ratio_5cm,5,61,0.12549818087657555,0.015749793403329673,-0.13044501984048942,0.36575979844674206,68.16220588337805,-0.16914155904162945,70.860350542927,57.28035453742105
10cm窗口可见背部横向弧长,dorsal_arc_10cm_m,10,61,0.481392394899311,0.2317386378668942,0.2612404162305243,0.6539395787734323,60.22064120541181,0.4356236778982877,61.91609520983281,47.463306038290455
10cm窗口背部弧长/最大体宽,dorsal_arc_to_max_width_ratio_10cm,10,61,0.19802659623963098,0.03921453281825383,-0.05661750114992148,0.4284802262102771,67.34480381404764,0.02712594746225915,69.7316816146702,56.47143515322653
15cm窗口可见背部横向弧长,dorsal_arc_15cm_m,15,61,0.4762607196165094,0.22682427304963537,0.25502581866483515,0.6501120137208499,60.41294193160386,0.43088985706510163,62.0696492889369,47.94355534744922
15cm窗口背部弧长/最大体宽,dorsal_arc_to_max_width_ratio_15cm,15,61,0.18664496703422448,0.03483634371920674,-0.06839018605274741,0.41878248157586473,67.49807067834615,0.01340185374987106,69.8116228624905,56.91933490093169
