cow_id,ground_truth_weight_kg,existing_definition,existing_torso_length_m,existing_projected_area_m2,existing_projected_volume_m3,new_definition,new_torso_length_m,new_projected_area_m2,new_projected_volume_m3,length_difference_new_minus_existing_m,area_difference_new_minus_existing_m2,volume_difference_new_minus_existing_m3
110,417.0,rear_first_below_45pct_to_head_first_below_48pct,1.09,0.4623,0.448282,pca_rear_endpoint_0pct_to_full_length_70pct,1.151156,0.4718,0.457885,0.061156,0.0095,0.009603
111,243.0,rear_first_below_45pct_to_head_first_below_48pct,1.29,0.6408,0.70851,pca_rear_endpoint_0pct_to_full_length_70pct,1.270703,0.6348,0.702111,-0.019297,-0.006,-0.006399
112,399.0,rear_first_below_45pct_to_head_first_below_48pct,1.55,0.7739,0.882523,pca_rear_endpoint_0pct_to_full_length_70pct,1.31429,0.6931,0.796409,-0.23571,-0.0808,-0.086114
114,605.0,rear_first_below_45pct_to_head_first_below_48pct,1.38,0.7141,0.814009,pca_rear_endpoint_0pct_to_full_length_70pct,1.300186,0.683,0.780944,-0.079814,-0.0311,-0.033065
117,399.0,rear_first_below_45pct_to_head_first_below_48pct,1.38,0.7146,0.814149,pca_rear_endpoint_0pct_to_full_length_70pct,1.32198,0.6912,0.789428,-0.05802,-0.0234,-0.024721
119,495.0,rear_first_below_45pct_to_head_first_below_48pct,1.43,0.7362,0.848421,pca_rear_endpoint_0pct_to_full_length_70pct,1.35855,0.7103,0.819376,-0.07145,-0.0259,-0.029045
120,493.0,rear_first_below_45pct_to_head_first_below_48pct,1.4,0.7614,0.873624,pca_rear_endpoint_0pct_to_full_length_70pct,1.288978,0.7142,0.821224,-0.111022,-0.0472,-0.0524
122,486.0,rear_first_below_45pct_to_head_first_below_48pct,1.53,0.8006,0.935453,pca_rear_endpoint_0pct_to_full_length_70pct,1.327424,0.7265,0.85058,-0.202576,-0.0741,-0.084873
123,545.0,rear_first_below_45pct_to_head_first_below_48pct,1.48,0.789,0.854047,pca_rear_endpoint_0pct_to_full_length_70pct,1.351475,0.727,0.792981,-0.128525,-0.062,-0.061066
124,484.0,rear_first_below_45pct_to_head_first_below_48pct,1.49,0.7786,0.893192,pca_rear_endpoint_0pct_to_full_length_70pct,1.351357,0.7317,0.84319,-0.138643,-0.0469,-0.050002
125,411.0,rear_first_below_45pct_to_head_first_below_48pct,1.56,0.7776,0.895571,pca_rear_endpoint_0pct_to_full_length_70pct,1.333512,0.6953,0.806367,-0.226488,-0.0823,-0.089204
126,512.0,rear_first_below_45pct_to_head_first_below_48pct,1.42,0.7765,0.914483,pca_rear_endpoint_0pct_to_full_length_70pct,1.335782,0.7392,0.8731,-0.084218,-0.0373,-0.041383
127,551.0,rear_first_below_45pct_to_head_first_below_48pct,1.64,0.7893,0.89809,pca_rear_endpoint_0pct_to_full_length_70pct,1.315365,0.6843,0.782154,-0.324635,-0.105,-0.115936
128,479.0,rear_first_below_45pct_to_head_first_below_48pct,1.46,0.734,0.879161,pca_rear_endpoint_0pct_to_full_length_70pct,1.348514,0.6947,0.8346,-0.111486,-0.0393,-0.044561
129,514.0,rear_first_below_45pct_to_head_first_below_48pct,1.4,0.767,0.88052,pca_rear_endpoint_0pct_to_full_length_70pct,1.306237,0.7298,0.839657,-0.093763,-0.0372,-0.040863
130,548.0,rear_first_below_45pct_to_head_first_below_48pct,1.46,0.7455,0.862794,pca_rear_endpoint_0pct_to_full_length_70pct,1.353657,0.7091,0.823068,-0.106343,-0.0364,-0.039726
132,418.0,rear_first_below_45pct_to_head_first_below_48pct,1.5,0.7703,0.918809,pca_rear_endpoint_0pct_to_full_length_70pct,1.320027,0.6974,0.834258,-0.179973,-0.0729,-0.084551
133,531.0,rear_first_below_45pct_to_head_first_below_48pct,1.48,0.7816,0.837631,pca_rear_endpoint_0pct_to_full_length_70pct,1.354083,0.736,0.790045,-0.125917,-0.0456,-0.047586
134,512.0,rear_first_below_45pct_to_head_first_below_48pct,1.32,0.6343,0.726741,pca_rear_endpoint_0pct_to_full_length_70pct,1.248625,0.6083,0.698251,-0.071375,-0.026,-0.02849
135,413.0,rear_first_below_45pct_to_head_first_below_48pct,1.62,0.8532,0.965881,pca_rear_endpoint_0pct_to_full_length_70pct,1.380339,0.7667,0.871467,-0.239661,-0.0865,-0.094414
136,563.0,rear_first_below_45pct_to_head_first_below_48pct,1.44,0.7537,0.869033,pca_rear_endpoint_0pct_to_full_length_70pct,1.301927,0.6971,0.80629,-0.138073,-0.0566,-0.062743
137,511.0,rear_first_below_45pct_to_head_first_below_48pct,1.48,0.7404,0.827771,pca_rear_endpoint_0pct_to_full_length_70pct,1.283929,0.6783,0.761657,-0.196071,-0.0621,-0.066114
138,495.0,rear_first_below_45pct_to_head_first_below_48pct,1.42,0.7963,0.947849,pca_rear_endpoint_0pct_to_full_length_70pct,1.332732,0.766,0.913364,-0.087268,-0.0303,-0.034485
139,519.0,rear_first_below_45pct_to_head_first_below_48pct,1.51,0.7866,0.895377,pca_rear_endpoint_0pct_to_full_length_70pct,1.260877,0.6776,0.772693,-0.249123,-0.109,-0.122684
140,549.0,rear_first_below_45pct_to_head_first_below_48pct,1.48,0.8118,0.947927,pca_rear_endpoint_0pct_to_full_length_70pct,1.389312,0.7789,0.91087,-0.090688,-0.0329,-0.037057
141,488.0,rear_first_below_45pct_to_head_first_below_48pct,1.37,0.7275,0.821307,pca_rear_endpoint_0pct_to_full_length_70pct,1.340735,0.7139,0.806361,-0.029265,-0.0136,-0.014946
142,526.0,rear_first_below_45pct_to_head_first_below_48pct,1.42,0.761,0.845155,pca_rear_endpoint_0pct_to_full_length_70pct,1.239758,0.6812,0.758126,-0.180242,-0.0798,-0.087029
144,543.0,rear_first_below_45pct_to_head_first_below_48pct,1.59,0.813,0.94887,pca_rear_endpoint_0pct_to_full_length_70pct,1.348299,0.7302,0.854906,-0.241701,-0.0828,-0.093964
149,520.0,rear_first_below_45pct_to_head_first_below_48pct,1.49,0.7789,0.916987,pca_rear_endpoint_0pct_to_full_length_70pct,1.234026,0.6755,0.801466,-0.255974,-0.1034,-0.115521
151,532.0,rear_first_below_45pct_to_head_first_below_48pct,1.63,0.793,0.911776,pca_rear_endpoint_0pct_to_full_length_70pct,1.329979,0.6883,0.801668,-0.300021,-0.1047,-0.110108
154,535.0,rear_first_below_45pct_to_head_first_below_48pct,1.55,0.7991,0.930723,pca_rear_endpoint_0pct_to_full_length_70pct,1.357156,0.729,0.852775,-0.192844,-0.0701,-0.077948
