cow_id,ground_truth_weight_kg,pca_rear70_torso_analysis_eligible,pca_rear70_torso_method_version,pca_rear70_torso_recorded_on,pca_rear70_torso_start_ratio_from_rear,pca_rear70_torso_end_ratio_from_rear,pca_rear70_torso_full_length_m,pca_rear70_torso_start_x_m,pca_rear70_torso_start_y_m,pca_rear70_torso_end_x_m,pca_rear70_torso_end_y_m,pca_rear70_torso_length_m,pca_rear70_torso_projection_grid_cell_size_m,pca_rear70_torso_projection_grid_cell_count,pca_rear70_torso_projected_area_m2,pca_rear70_torso_projection_mean_height_m,pca_rear70_torso_projection_median_height_m,pca_rear70_torso_projected_volume_m3,pca_rear70_torso_projected_volume_l,pca_rear70_torso_height_definition,pca_rear70_torso_cell_height_aggregation,pca_rear70_torso_region_definition,pca_rear70_torso_status,source_top_ply,extracted_top_ply
26,414.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.812911,-0.577123,-0.23342,0.686387,-0.351737,1.269037,0.01,6058,0.6058,1.095798,1.113041,0.663834,663.834,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/26/top-13.56.26.514.ply,point_clouds/cow_026_top_cattle.ply
27,400.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.765044,-1.014312,-0.10314,0.208451,0.074024,1.235531,0.01,6354,0.6354,1.171463,1.191087,0.744348,744.348,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/27/top-15.30.41.933.ply,point_clouds/cow_027_top_cattle.ply
28,464.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.732994,-0.263133,-0.491132,0.920214,-0.224125,1.213096,0.01,6155,0.6155,1.146105,1.160817,0.705428,705.428,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/28/top-15.36.47.071.ply,point_clouds/cow_028_top_cattle.ply
39,437.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.791822,-0.373061,-0.188896,0.878863,-0.112128,1.254276,0.01,6507,0.6507,1.10147,1.115417,0.716726,716.726,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/39/top-16.21.22.404.ply,point_clouds/cow_039_top_cattle.ply
50,410.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.836037,-0.31553,-0.223781,0.930392,0.091628,1.285226,0.01,6796,0.6796,1.104311,1.130707,0.75049,750.49,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/50/top-17.57.16.387.ply,point_clouds/cow_050_top_cattle.ply
51,431.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.833864,-0.416913,-0.00153,0.863355,-0.095408,1.283705,0.01,6597,0.6597,1.124282,1.142491,0.741689,741.689,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/51/top-18.00.21.471.ply,point_clouds/cow_051_top_cattle.ply
76,463.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.716593,-0.269779,-0.054054,0.931709,-0.071538,1.201615,0.01,6738,0.6738,1.125823,1.14303,0.758579,758.579,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/76/top-19.45.11.274.ply,point_clouds/cow_076_top_cattle.ply
82,445.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.767118,-0.359781,0.091753,0.876851,0.121209,1.236983,0.01,6389,0.6389,1.112229,1.128023,0.710603,710.603,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/82/top-20.14.10.429.ply,point_clouds/cow_082_top_cattle.ply
87,451.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.788786,-0.332458,-0.148835,0.916755,-0.234546,1.25215,0.01,6360,0.636,1.118474,1.137975,0.71135,711.35,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/87/top-20.31.00.342.ply,point_clouds/cow_087_top_cattle.ply
97,462.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.67619,-0.742898,-0.136393,0.430195,-0.112649,1.173333,0.01,5838,0.5838,0.969358,0.987103,0.565911,565.911,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/97/top-12.01.06.363.ply,point_clouds/cow_097_top_cattle.ply
98,346.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.780418,-0.711199,-0.191019,0.523299,-0.362071,1.246292,0.01,6141,0.6141,1.046953,1.069681,0.642934,642.934,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/98/top-12.04.46.910.ply,point_clouds/cow_098_top_cattle.ply
99,407.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.76541,-0.393508,0.229285,0.837196,0.117319,1.235787,0.01,5801,0.5801,1.097441,1.110825,0.636625,636.625,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/99/top-12.07.51.258.ply,point_clouds/cow_099_top_cattle.ply
100,366.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.777309,-0.411201,0.420829,0.832,0.373132,1.244116,0.01,5870,0.587,1.054509,1.077005,0.618997,618.997,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/100/top-12.13.31.354.ply,point_clouds/cow_100_top_cattle.ply
102,378.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.805352,-0.66284,0.284038,0.582328,0.068139,1.263746,0.01,6173,0.6173,1.069374,1.087355,0.660124,660.124,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/102/top-12.19.51.759.ply,point_clouds/cow_102_top_cattle.ply
103,382.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.88273,-0.846334,-0.310981,0.46301,-0.461004,1.317911,0.01,6393,0.6393,1.116364,1.141937,0.713691,713.691,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/103/top-12.24.09.127.ply,point_clouds/cow_103_top_cattle.ply
104,408.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.613136,-0.048805,-0.055168,1.071954,0.0826,1.129195,0.01,5424,0.5424,0.971866,0.986787,0.52714,527.14,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/104/top-12.28.17.838.ply,point_clouds/cow_104_top_cattle.ply
105,323.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.605518,-0.327314,-0.061804,0.78809,-0.199431,1.123862,0.01,4841,0.4841,0.986599,0.998589,0.477613,477.613,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/105/top-12.31.06.345.ply,point_clouds/cow_105_top_cattle.ply
107,409.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.706385,-0.518245,0.062388,0.637989,-0.237412,1.19447,0.01,5584,0.5584,0.998,1.00608,0.557283,557.283,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/107/top-12.35.51.048.ply,point_clouds/cow_107_top_cattle.ply
110,417.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.644509,-0.478113,-0.093599,0.664055,0.049975,1.151156,0.01,4718,0.4718,0.970507,0.978302,0.457885,457.885,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/110/top-12.43.43.056.ply,point_clouds/cow_110_top_cattle.ply
