torso_definition,torso_definition_label_zh,selected_width_count,model,station,outer_fold_selection_count,outer_fold_selection_rate,method_version
pca_rear70,臀端0%至70%,1,ridge,W1,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,1,ridge,W2,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,1,ridge,W3,13,0.21311475409836064,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,1,ridge,W4,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,1,ridge,W5,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,1,ridge,W6,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,1,ridge,W7,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,1,ridge,W8,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,1,ridge,W9,46,0.7540983606557377,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,1,ridge,W10,1,0.01639344262295082,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,1,ridge,W11,1,0.01639344262295082,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,1,pls,W1,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,1,pls,W2,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,1,pls,W3,13,0.21311475409836064,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,1,pls,W4,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,1,pls,W5,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,1,pls,W6,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,1,pls,W7,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,1,pls,W8,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,1,pls,W9,46,0.7540983606557377,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,1,pls,W10,1,0.01639344262295082,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,1,pls,W11,1,0.01639344262295082,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,2,ols,W1,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,2,ols,W2,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,2,ols,W3,59,0.9672131147540983,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,2,ols,W4,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,2,ols,W5,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,2,ols,W6,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,2,ols,W7,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,2,ols,W8,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,2,ols,W9,60,0.9836065573770492,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,2,ols,W10,2,0.03278688524590164,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,2,ols,W11,1,0.01639344262295082,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,2,ridge,W1,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,2,ridge,W2,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,2,ridge,W3,59,0.9672131147540983,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,2,ridge,W4,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,2,ridge,W5,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,2,ridge,W6,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,2,ridge,W7,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,2,ridge,W8,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,2,ridge,W9,60,0.9836065573770492,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,2,ridge,W10,2,0.03278688524590164,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,2,ridge,W11,1,0.01639344262295082,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,2,pls,W1,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,2,pls,W2,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,2,pls,W3,59,0.9672131147540983,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,2,pls,W4,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,2,pls,W5,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,2,pls,W6,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,2,pls,W7,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,2,pls,W8,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,2,pls,W9,60,0.9836065573770492,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,2,pls,W10,2,0.03278688524590164,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,2,pls,W11,1,0.01639344262295082,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,3,ols,W1,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,3,ols,W2,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,3,ols,W3,61,1.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,3,ols,W4,1,0.01639344262295082,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,3,ols,W5,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,3,ols,W6,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,3,ols,W7,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,3,ols,W8,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,3,ols,W9,61,1.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,3,ols,W10,46,0.7540983606557377,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,3,ols,W11,14,0.22950819672131148,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,3,ridge,W1,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,3,ridge,W2,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,3,ridge,W3,61,1.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,3,ridge,W4,1,0.01639344262295082,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,3,ridge,W5,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,3,ridge,W6,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,3,ridge,W7,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,3,ridge,W8,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,3,ridge,W9,61,1.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,3,ridge,W10,46,0.7540983606557377,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,3,ridge,W11,14,0.22950819672131148,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,3,pls,W1,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,3,pls,W2,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,3,pls,W3,61,1.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,3,pls,W4,1,0.01639344262295082,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,3,pls,W5,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,3,pls,W6,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,3,pls,W7,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,3,pls,W8,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,3,pls,W9,61,1.0,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,3,pls,W10,46,0.7540983606557377,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,3,pls,W11,14,0.22950819672131148,local_width_plus_base_nested_selection_v1.0
