cow_id,ground_truth_weight_kg,pca_4548_width_01_m,pca_4548_height_01_m,pca_4548_width_02_m,pca_4548_height_02_m,pca_4548_width_03_m,pca_4548_height_03_m,pca_4548_width_04_m,pca_4548_height_04_m,pca_4548_width_05_m,pca_4548_height_05_m,pca_4548_width_06_m,pca_4548_height_06_m,pca_4548_width_07_m,pca_4548_height_07_m,pca_4548_width_08_m,pca_4548_height_08_m,pca_4548_width_09_m,pca_4548_height_09_m,pca_4548_width_10_m,pca_4548_height_10_m,pca_4548_width_11_m,pca_4548_height_11_m,pca_4548_mean_width_m,pca_4548_median_width_m,pca_4548_mean_height_m,pca_4548_median_height_m,pca_4548_status,pca_rear70_width_01_m,pca_rear70_height_01_m,pca_rear70_width_02_m,pca_rear70_height_02_m,pca_rear70_width_03_m,pca_rear70_height_03_m,pca_rear70_width_04_m,pca_rear70_height_04_m,pca_rear70_width_05_m,pca_rear70_height_05_m,pca_rear70_width_06_m,pca_rear70_height_06_m,pca_rear70_width_07_m,pca_rear70_height_07_m,pca_rear70_width_08_m,pca_rear70_height_08_m,pca_rear70_width_09_m,pca_rear70_height_09_m,pca_rear70_width_10_m,pca_rear70_height_10_m,pca_rear70_width_11_m,pca_rear70_height_11_m,pca_rear70_mean_width_m,pca_rear70_median_width_m,pca_rear70_mean_height_m,pca_rear70_median_height_m,pca_rear70_status,method_version,recorded_on
136,563.0,0.351179,1.205585,0.454837,1.224254,0.517212,1.233119,0.512543,1.223969,0.599987,1.224641,0.600664,1.216201,0.542709,1.219715,0.479259,1.21491,0.473003,1.216723,0.461918,1.201472,0.37067,1.177571,0.487635,0.479259,1.214378,1.216723,ok,0.32718,1.184319,0.433979,1.222973,0.509748,1.230467,0.511425,1.228735,0.565473,1.221809,0.598718,1.225042,0.58505,1.215959,0.532821,1.221318,0.47824,1.214987,0.467935,1.216831,0.484213,1.203232,0.499526,0.509748,1.216879,1.221318,ok,two_pca_torso_definitions_11_stations_width_height_v1.0,2026-09-06
137,511.0,0.256396,1.155698,0.45467,1.207124,0.520061,1.227461,0.533128,1.207126,0.585285,1.194491,0.596099,1.191023,0.530321,1.179933,0.451305,1.173078,0.45692,1.162918,0.454876,1.143886,0.344375,1.101276,0.471221,0.45692,1.176728,1.179933,ok,0.327834,1.181225,0.452517,1.20541,0.519926,1.227461,0.531337,1.210576,0.551955,1.197484,0.581915,1.197195,0.572031,1.184376,0.501794,1.181784,0.446553,1.170231,0.452596,1.162418,0.457503,1.14839,0.490542,0.501794,1.187868,1.184376,ok,two_pca_torso_definitions_11_stations_width_height_v1.0,2026-09-06
138,495.0,0.382986,1.279265,0.527953,1.291268,0.543314,1.298652,0.552252,1.282898,0.612996,1.27752,0.638459,1.264989,0.596179,1.260893,0.53378,1.253935,0.520729,1.238215,0.485903,1.216353,0.374754,1.186677,0.524482,0.53378,1.259151,1.264989,ok,0.383484,1.281201,0.527953,1.290733,0.553787,1.299484,0.545503,1.287693,0.586584,1.27689,0.641069,1.272708,0.620356,1.259389,0.564939,1.26011,0.53203,1.241123,0.498372,1.226331,0.43243,1.205987,0.535137,0.545503,1.263786,1.272708,ok,two_pca_torso_definitions_11_stations_width_height_v1.0,2026-09-06
139,519.0,0.390408,1.226225,0.496457,1.225963,0.514977,1.225745,0.480169,1.207841,0.567068,1.201822,0.596511,1.187264,0.534108,1.19541,0.476009,1.195502,0.477049,1.187907,0.42958,1.169775,0.36431,1.154003,0.48424,0.480169,1.197951,1.195502,ok,0.340885,1.209465,0.470015,1.231912,0.508108,1.234254,0.501619,1.2225,0.487253,1.205959,0.573741,1.200872,0.603748,1.190469,0.562977,1.188396,0.505238,1.197448,0.467669,1.191211,0.504891,1.183416,0.502377,0.504891,1.205082,1.200872,ok,two_pca_torso_definitions_11_stations_width_height_v1.0,2026-09-06
140,549.0,0.407389,1.219124,0.478885,1.238697,0.531064,1.25598,0.562647,1.252239,0.608774,1.257468,0.612161,1.25165,0.557911,1.253377,0.497563,1.238329,0.479332,1.232064,0.478853,1.22706,0.401333,1.194138,0.510537,0.497563,1.238193,1.238697,ok,0.428776,1.229696,0.443983,1.238697,0.534948,1.254522,0.548803,1.248536,0.61773,1.257151,0.608882,1.251971,0.588295,1.251274,0.513247,1.246394,0.463103,1.229138,0.507358,1.230263,0.476566,1.216036,0.521063,0.513247,1.241243,1.246394,ok,two_pca_torso_definitions_11_stations_width_height_v1.0,2026-09-06
141,488.0,0.397776,1.18612,0.487243,1.180949,0.507448,1.188399,0.549236,1.184182,0.619546,1.195034,0.611134,1.205221,0.547152,1.21097,0.47229,1.210977,0.433171,1.19472,0.461557,1.18502,0.382508,1.152715,0.497187,0.487243,1.190391,1.188399,ok,0.358988,1.180957,0.490143,1.185283,0.50427,1.190938,0.529024,1.184031,0.60209,1.191939,0.625269,1.205441,0.567473,1.208755,0.499593,1.216254,0.44542,1.200883,0.463735,1.189468,0.40613,1.168936,0.499285,0.499593,1.19299,1.190938,ok,two_pca_torso_definitions_11_stations_width_height_v1.0,2026-09-06
142,526.0,0.393587,1.190076,0.486146,1.186882,0.505622,1.193953,0.520132,1.18722,0.60826,1.180886,0.614064,1.176353,0.568023,1.168566,0.487037,1.17486,0.436246,1.175206,0.503364,1.161136,0.394342,1.138742,0.501529,0.503364,1.175807,1.176353,ok,0.363418,1.184535,0.4768,1.193861,0.504037,1.197572,0.51346,1.192099,0.543277,1.184305,0.608292,1.182399,0.608887,1.17669,0.572818,1.168553,0.505875,1.171758,0.450038,1.17018,0.483108,1.165381,0.511819,0.505875,1.180667,1.182399,ok,two_pca_torso_definitions_11_stations_width_height_v1.0,2026-09-06
144,543.0,0.403655,1.262223,0.502842,1.266973,0.544505,1.255121,0.555113,1.239875,0.583398,1.234303,0.550283,1.215952,0.487984,1.224477,0.47666,1.201201,0.465328,1.192021,0.36308,1.180288,0.283872,1.178535,0.474247,0.487984,1.222815,1.224477,ok,0.39367,1.254897,0.494697,1.26382,0.532359,1.26847,0.542696,1.244722,0.569378,1.238587,0.585333,1.231975,0.552928,1.217427,0.506835,1.225094,0.465756,1.207196,0.514568,1.195307,0.438642,1.184361,0.508806,0.514568,1.230169,1.231975,ok,two_pca_torso_definitions_11_stations_width_height_v1.0,2026-09-06
149,520.0,0.372616,1.268254,0.486355,1.274448,0.53156,1.283332,0.551539,1.268124,0.608542,1.259661,0.571305,1.248903,0.531729,1.240321,0.460015,1.224811,0.477171,1.201396,0.453542,1.182622,0.344511,1.160471,0.489899,0.486355,1.237486,1.248903,ok,0.353328,1.26285,0.459476,1.27489,0.523366,1.283652,0.533429,1.277531,0.565518,1.266853,0.608499,1.25884,0.588852,1.251857,0.537628,1.240264,0.481231,1.236606,0.452628,1.218172,0.473117,1.204488,0.507007,0.523366,1.252364,1.25884,ok,two_pca_torso_definitions_11_stations_width_height_v1.0,2026-09-06
151,532.0,0.382798,1.260423,0.486764,1.259725,0.490364,1.247078,0.531546,1.233565,0.560758,1.228627,0.52863,1.218828,0.448488,1.21746,0.437919,1.203524,0.467688,1.179104,0.382409,1.137032,0.339685,1.080455,0.459732,0.467688,1.205984,1.218828,ok,0.358141,1.262602,0.454826,1.256083,0.491524,1.262787,0.480952,1.239776,0.548971,1.234755,0.55789,1.228478,0.548107,1.219611,0.483294,1.220726,0.439721,1.214933,0.448622,1.199877,0.468937,1.178739,0.480089,0.480952,1.228943,1.228478,ok,two_pca_torso_definitions_11_stations_width_height_v1.0,2026-09-06
154,535.0,0.392028,1.256391,0.493726,1.252279,0.513605,1.253789,0.509208,1.243446,0.582637,1.24077,0.574611,1.233656,0.520811,1.238285,0.457533,1.223917,0.481866,1.215747,0.439232,1.199135,0.325131,1.164363,0.480944,0.493726,1.229253,1.238285,ok,0.393816,1.255858,0.493849,1.25136,0.501751,1.26121,0.490762,1.246396,0.558052,1.24029,0.590852,1.240163,0.553903,1.232047,0.509076,1.237699,0.460437,1.223661,0.489652,1.21742,0.459123,1.205553,0.500116,0.493849,1.237423,1.240163,ok,two_pca_torso_definitions_11_stations_width_height_v1.0,2026-09-06
