torso_definition,torso_definition_label_zh,feature_group,feature_group_label_zh,model,model_label_zh,predictor_count,in_sample_r,in_sample_r_squared,in_sample_rmse_kg,validation_method,validation_r,validation_r_squared,validation_rmse_kg,validation_mae_kg,full_sample_alpha,outer_alpha_median,full_sample_pls_components,outer_pls_components_median,method_version
pca_rear70,臀端0%至70%,width11,W1–W11（11项体宽）,pls,PLS,11,0.6456025869035401,0.416802700216543,52.46849796750016,Nested LOOCV PLS,0.4630424410246381,0.15696685009400413,63.0831259331782,46.584306989536465,,,1,2.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_rear70,臀端0%至70%,height11,H1–H11（11项高度）,ols,OLS,11,0.6243249805708873,0.3897816813648386,53.6702353717586,LOOCV OLS,0.33471287626228685,-0.01927140645707892,69.36426679751544,51.41377129200009,,,,,continuous_11_width_11_height_nested_loocv_v1.0
pca_rear70,臀端0%至70%,height11,H1–H11（11项高度）,ridge,岭回归,11,0.5917529272314527,0.3493665422112845,55.41904985417612,Nested LOOCV Ridge,0.4523176912907501,0.19442108269749636,61.665878847784185,47.71924712892529,3.9810717055349776,15.848931924611142,,,continuous_11_width_11_height_nested_loocv_v1.0
pca_rear70,臀端0%至70%,height11,H1–H11（11项高度）,pls,PLS,11,0.5724535058408122,0.32770301634943666,56.33411302687519,Nested LOOCV PLS,0.41778996459864887,0.14094452897610854,63.67976960616249,49.61695621119403,,,2,2.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_rear70,臀端0%至70%,profile22,W1–W11+H1–H11（22项）,ols,OLS,22,0.8107776282250126,0.657360362430177,40.21700086123588,LOOCV OLS,0.42657270838196687,-0.06290369449844802,70.833359113146,53.49507750304044,,,,,continuous_11_width_11_height_nested_loocv_v1.0
pca_rear70,臀端0%至70%,profile22,W1–W11+H1–H11（22项）,ridge,岭回归,22,0.7228182029898018,0.5151161347714465,47.84204617815047,Nested LOOCV Ridge,0.4724912798337436,0.1848070307804205,62.0327582310575,46.14548188487888,25.11886431509582,6.309573444801943,,,continuous_11_width_11_height_nested_loocv_v1.0
pca_rear70,臀端0%至70%,profile22,W1–W11+H1–H11（22项）,pls,PLS,22,0.683878804195756,0.46769021882821715,50.1271603074583,Nested LOOCV PLS,0.40603723430377286,0.07211058320968156,66.18186327947707,50.2415680298191,,,2,4.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_rear70,臀端0%至70%,full25,体积+面积+长度+W1–W11+H1–H11（25项）,ols,OLS,25,0.8122759817676767,0.6597922705566432,40.074025265579884,LOOCV OLS,0.331717786205238,-0.38479927655759827,80.85079477122454,59.351056352911925,,,,,continuous_11_width_11_height_nested_loocv_v1.0
pca_rear70,臀端0%至70%,full25,体积+面积+长度+W1–W11+H1–H11（25项）,ridge,岭回归,25,0.7257487092843794,0.5198637968529186,47.60725118954079,Nested LOOCV Ridge,0.4755370921614298,0.19250756250130563,61.73907398323905,46.11503133411632,25.11886431509582,6.309573444801943,,,continuous_11_width_11_height_nested_loocv_v1.0
pca_rear70,臀端0%至70%,full25,体积+面积+长度+W1–W11+H1–H11（25项）,pls,PLS,25,0.6866674259388134,0.47151215384543566,49.94688194061869,Nested LOOCV PLS,0.4149358287885182,0.09073552931418061,65.51428266348196,50.42382641892714,,,2,1.0,continuous_11_width_11_height_nested_loocv_v1.0
