random_seed,cow_id,pca_max_width_m,pca_max_width_station_m,skeleton_max_width_m,skeleton_max_width_station_from_rear_m,max_inscribed_circle_diameter_m,max_inscribed_circle_radius_m,max_inscribed_circle_center_x_m,max_inscribed_circle_center_y_m,max_inscribed_circle_grid_m
20260906,39,0.58566,-0.11,0.628605,0.7,0.6260990336999411,0.31304951684997057,0.28441496993354565,-0.17362663130588418,0.01
20260906,50,0.594746,-0.22,0.63643,0.67,0.6356099432828282,0.3178049716414141,0.3121980218874094,-0.10097309247214091,0.01
20260906,82,0.586443,-0.14,0.601244,0.67,0.620322496770833,0.3101612483854165,0.27932275850962224,0.08196852072154166,0.01
20260906,100,0.552033,-0.19,0.571313,0.64,0.5813776741499453,0.2906888370749727,0.18554246434035063,0.42295219451424226,0.01
20260906,107,0.574904,-0.19,0.586516,0.61,0.6013318551349164,0.3006659275674582,0.05165376508216166,-0.08021577049902652,0.01
20260906,111,0.59505,-0.17,0.608863,0.68,0.6212889826803627,0.31064449134018135,0.24098166519782388,0.11379839181798346,0.01
20260906,126,0.605144,-0.16,0.625106,0.73,0.6403124237432849,0.32015621187164245,-0.17656846810762236,0.3115330240678112,0.01
20260906,128,0.557056,-0.19,0.573713,0.74,0.5922837157984339,0.29614185789921693,-0.10617156708388709,0.12798330663782465,0.01
20260906,129,0.631709,-0.19,0.650674,0.71,0.657875368135941,0.3289376840679705,0.0639973234527232,-0.003384403969394283,0.01
20260906,132,0.571458,-0.11,0.592912,0.8,0.6118823416311342,0.3059411708155671,0.15521430757716698,0.16020273924682552,0.01
